,ANO_ELEICAO,SG_UF,DS_CARGO,NM_CANDIDATO,DS_SITUACAO_CANDIDATURA,DS_DETALHE_SITUACAO_CAND,NM_PARTIDO,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_COR_RACA,VR_DESPESA_MAX_CAMPANHA,DS_SITUACAO_CANDIDATO_PLEITO,DS_SITUACAO_CANDIDATO_URNA
26723,2020,SP,VEREADOR,IRINEIA DE MOURA,APTO,DEFERIDO,PATRIOTA,27,FEMININO,ENSINO MÉDIO INCOMPLETO,PRETA,87435.36,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
26838,2020,MT,VEREADOR,HANNA APARECIDA GOMES VIANA,APTO,DEFERIDO,PARTIDO REPUBLICANO DA ORDEM SOCIAL,26,FEMININO,ENSINO MÉDIO INCOMPLETO,PARDA,16253.93,DEFERIDO,INDEFERIDO COM RECURSO
27035,2020,RN,VEREADOR,FRANKLIN UILLIAN MATIAS DA SILVA,APTO,DEFERIDO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,28,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,24746.5,DEFERIDO,INDEFERIDO COM RECURSO
27036,2020,PB,VEREADOR,JOSE CLAUDIO COELHO DE SOUZA,APTO,INDEFERIDO COM RECURSO,PROGRESSISTAS,26,MASCULINO,SUPERIOR COMPLETO,SEM INFORMAÇÃO,12307.75,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
27096,2020,MA,VEREADOR,JAKSON CELECINO DA SILVA,APTO,INDEFERIDO COM RECURSO,PARTIDO TRABALHISTA BRASILEIRO,26,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,PARDA,12307.75,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
27586,2020,SE,VEREADOR,FELIPE ROMÃO PASSOS,APTO,INDEFERIDO COM RECURSO,PARTIDO DOS TRABALHADORES,21,MASCULINO,ENSINO MÉDIO COMPLETO,PRETA,186003.67,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
27601,2020,AM,VEREADOR,JOSÉ WASHINGTON LIMA DA SILVA,APTO,INDEFERIDO COM RECURSO,REPUBLICANOS,28,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,20298.53,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
27606,2020,MA,VEREADOR,DANIEL CARLOS CRUZ DOS PASSOS,APTO,DEFERIDO,PARTIDO SOCIALISTA BRASILEIRO,21,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,12307.75,DEFERIDO,INDEFERIDO COM RECURSO
27629,2020,MA,VEREADOR,JADERUZ SILVA SENA,APTO,DEFERIDO,PARTIDO SOCIAL DEMOCRÁTICO,24,MASCULINO,ENSINO MÉDIO COMPLETO,PRETA,39786.41,DEFERIDO,INDEFERIDO COM RECURSO
27757,2020,MT,VEREADOR,GENESIO MACHADO DE ARAÚJO,APTO,DEFERIDO,PARTIDO SOCIALISTA BRASILEIRO,23,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,560511.19,DEFERIDO,INDEFERIDO COM RECURSO
27775,2020,MG,VEREADOR,TATIANE NEVES DE OLIVEIRA,APTO,DEFERIDO,CIDADANIA,28,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,27731.06,DEFERIDO,INDEFERIDO COM RECURSO
27906,2020,MG,VEREADOR,ALEXANDRE RAFAEL SANTOS FERREIRA SILVA,APTO,DEFERIDO,PARTIDO SOCIAL LIBERAL,28,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,98299.98,DEFERIDO,INDEFERIDO COM RECURSO
28046,2020,AM,VEREADOR,VANESSE BRAZÃO FREITAS,APTO,DEFERIDO,DEMOCRATAS,23,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,12307.75,DEFERIDO,INDEFERIDO COM RECURSO
29044,2020,PB,VEREADOR,JOSE CLAUDIANO NETO,APTO,DEFERIDO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,26,MASCULINO,ENSINO MÉDIO INCOMPLETO,BRANCA,164340.55,DEFERIDO,INDEFERIDO COM RECURSO
29101,2020,BA,VEREADOR,THIAGO SANTOS BARAUNA DA SILVA,APTO,DEFERIDO,PARTIDO TRABALHISTA BRASILEIRO,27,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,INDEFERIDO COM RECURSO
29189,2020,AM,VEREADOR,CRISTIANO JUNIOR NASCIMENTO COSTA,APTO,DEFERIDO,DEMOCRATAS,29,MASCULINO,ENSINO MÉDIO INCOMPLETO,PARDA,28082.8,DEFERIDO,INDEFERIDO COM RECURSO
29195,2020,AC,VEREADOR,LAUDECY SOUZA DE OLIVEIRA,APTO,DEFERIDO,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,19,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,12307.75,DEFERIDO,INDEFERIDO COM RECURSO
29293,2020,PA,VEREADOR,RAISSA SILVA NEVES,APTO,DEFERIDO,PARTIDO LIBERAL,24,FEMININO,ENSINO FUNDAMENTAL COMPLETO,PARDA,12307.75,DEFERIDO,INDEFERIDO COM RECURSO
29310,2020,MG,VEREADOR,MARCOS VINICIUS DE ALMEIDA,APTO,DEFERIDO,PARTIDO SOCIAL DEMOCRÁTICO,28,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,12307.75,DEFERIDO,INDEFERIDO COM RECURSO
29311,2020,MG,VEREADOR,ALEX EDMARDO ABREU DE OLIVEIRA,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,20,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,12307.75,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
29324,2020,RJ,VEREADOR,RODRIGO OLIVEIRA DA SILVA,APTO,DEFERIDO,PROGRESSISTAS,23,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
29351,2020,RS,VEREADOR,TALITA MALTAURO GIRARD,APTO,DEFERIDO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,21,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,42238.35,DEFERIDO,INDEFERIDO COM RECURSO
29352,2020,RJ,VEREADOR,VINICIUS RODRIGUES DOS SANTOS,APTO,INDEFERIDO COM RECURSO,PARTIDO DA CAUSA OPERÁRIA,26,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,1594577.38,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
29356,2020,RJ,VEREADOR,LUA GABRIELLE LIMA AZEREDO,APTO,INDEFERIDO COM RECURSO,REPUBLICANOS,28,FEMININO,SUPERIOR INCOMPLETO,PARDA,96639.38,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
29357,2020,SP,VEREADOR,TALES HENRIQUE MATOS BASTOS,APTO,INDEFERIDO COM RECURSO,PARTIDO SOCIALISMO E LIBERDADE,28,MASCULINO,SUPERIOR COMPLETO,BRANCA,12307.75,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
29417,2020,GO,VEREADOR,HELLIABE DE SOUZA AMARAL,APTO,DEFERIDO,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,19,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,12307.75,DEFERIDO,INDEFERIDO COM RECURSO
29545,2020,MT,VEREADOR,RODRIGO FERNANDO DE OLIVEIRA LOPES,APTO,DEFERIDO,DEMOCRACIA CRISTÃ,28,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,93963.86,DEFERIDO,INDEFERIDO COM RECURSO
29613,2020,ES,VEREADOR,LETICIA NOVAIS CARDOSO,APTO,INDEFERIDO COM RECURSO,AVANTE,24,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,BRANCA,26478.36,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
